symbol,period_label,compounded_profit_growth_pct,compounded_sales_growth_pct,roe_pct,stock_price_cagr_pct
HDFCBANK,10Y,22.0,21.0,17.0,15.0
HDFCBANK,5Y,23.0,22.0,17.0,8.0
HDFCBANK,3Y,26.0,30.0,17.0,8.0
HDFCBANK,TTM,27.0,47.0,,
INFY,10Y,9.0,12.0,27.0,15.0
INFY,5Y,11.0,13.0,29.0,22.0
INFY,3Y,10.0,5.0,31.0,4.0
INFY,TTM,8.0,3.0,,
SBILIFE,10Y,9.0,23.0,16.0,9.0
SBILIFE,5Y,6.0,24.0,14.0,8.0
SBILIFE,3Y,9.0,17.0,13.0,7.0
SBILIFE,TTM,18.0,43.0,,
TCS,10Y,9.0,11.0,40.0,14.0
TCS,5Y,8.0,10.0,44.0,16.0
TCS,3Y,12.0,14.0,47.0,8.0
TCS,TTM,8.0,5.0,,
WIPRO,10Y,3.0,8.0,18.0,12.0
WIPRO,5Y,4.0,9.0,17.0,20.0
WIPRO,3Y,0.0,13.0,17.0,-1.0
WIPRO,TTM,1.0,-3.0,,
