symbol,company_name,sector
ABB,Abbott India Ltd,Consumer Goods
ADANIENSOL,Adani Energy Solutions Ltd,Power
ADANIENT,Adani Enterprises Ltd,Consumer Goods
ADANIGREEN,Adani Green Energy Ltd,Energy
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Ports
ADANIPOWER,Adani Power Ltd,Power
AMBUJACEM,Ambuja Cements Ltd,Cement
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Paint
ATGL,Adani Total Gas Ltd,Energy
AXISBANK,Axis Bank Ltd,Banking
BAJAJ-AUTO,Bajaj Auto Ltd,Auto
BAJAJFINSV,Bajaj Finserv Ltd,NBFC
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Holding Company
BAJFINANCE,Bajaj Finance Ltd,NBFC
BANKBARODA,Bank of Baroda,Banking
BEL,Bharat Electronics Ltd,Consumer Goods
BHARTIARTL,Bharti Airtel Ltd,Consumer Goods
BHEL,Bharat Heavy Electricals Limited,Consumer Goods
BOSCHLTD,Bosch Ltd,Auto
BPCL,Bharat Petroleum Corporation Ltd,Energy
BRITANNIA,Britannia Industries Ltd,Consumer Goods
CANBK,Canara Bank,Banking
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,NBFC
CIPLA,Cipla Ltd,Healthcare
COALINDIA,Coal India Ltd,Consumer Goods
DABUR,Dabur India Ltd,Consumer Goods
DIVISLAB,Divis Laboratories Ltd,Healthcare
DLF,DLF Ltd,Consumer Goods
DMART,Avenue Supermarts Ltd,Consumer Goods
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare
EICHERMOT,Eicher Motors Ltd,Auto
GAIL,GAIL (India) Ltd,Energy
GODREJCP,Godrej Consumer Products Ltd,Consumer Goods
GRASIM,Grasim Industries Ltd,Cement
HAL,Hindustan Aeronautics Ltd,Consumer Goods
HAVELLS,Havells India Ltd,Consumer Goods
HCLTECH,HCL Technologies Ltd,IT
HDFCBANK,HDFC Bank Ltd,Banking
HDFCLIFE,HDFC Life Insurance Company Ltd,Insurance
HEROMOTOCO,Hero MotoCorp Ltd,Auto
HINDALCO,Hindalco Industries Ltd,Consumer Goods
HINDUNILVR,Hindustan Unilever Ltd,Consumer Goods
ICICIBANK,ICICI Bank Ltd,Banking
ICICIGI,ICICI Lombard General Insurance Company Ltd,Insurance
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Insurance
INDIGO,Interglobe Aviation Ltd,Consumer Goods
INDUSINDBK,IndusInd Bank Ltd,Banking
INFY,Infosys Ltd,IT
IOC,Indian Oil Corporation,Energy
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Goods
IRFC,Indian Railway Finance Corporation Ltd,NBFC
ITC,ITC Ltd,Consumer Goods
JINDALSTEL,Jindal Steel & Power Ltd,Power
JIOFIN,Jio Financial Services Ltd,NBFC
JSWENERGY,JSW Energy Ltd,Power
JSWSTEEL,JSW Steel Ltd,Consumer Goods
KOTAKBANK,Kotak Mahindra Bank Ltd,Banking
LICI,Life Insurance Corporation of India,Insurance
LODHA,Macrotech Developers Ltd,IT
LT,Larsen & Toubro Ltd,Consumer Goods
LTIM,IT,Consumer Goods
M&M,Mahindra & Mahindra Ltd,Auto
MARUTI,Maruti Suzuki India Ltd,Auto
MOTHERSON,Samvardhana Motherson International Ltd,Auto
NAUKRI,Info Edge (India) Ltd,Consumer Goods
NESTLEIND,Nestle India Ltd,Consumer Goods
NHPC,NHPC Ltd,Power
NTPC,NTPC Ltd,Power
ONGC,Oil & Natural Gas Corpn Ltd,Energy
PFC,Power Finance Corporation Ltd,NBFC
PIDILITIND,Pidilite Industries Ltd,Consumer Goods
PNB,Punjab National Bank,Banking
POWERGRID,Power Grid Corporation of India Ltd,Power
RECLTD,REC Ltd,NBFC
RELIANCE,Reliance Industries Ltd,Energy
SBILIFE,SBI Life Insurance Company Ltd,Insurance
SBIN,State Bank of India,Banking
SHREECEM,Shree Cement Ltd,Cement
SHRIRAMFIN,Shriram Finance Ltd,NBFC
SIEMENS,Siemens Ltd,Consumer Goods
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare
TATACONSUM,Tata Consumer Products Ltd,Consumer Goods
TATAMOTORS,Tata Motors Ltd,Auto
TATAPOWER,Tata Power Company Ltd,Power
TATASTEEL,Tata Steel Ltd,Consumer Goods
TCS,Tata Consultancy Services Ltd,IT
TECHM,Tech Mahindra Ltd,IT
TITAN,Titan Company Ltd,Consumer Goods
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare
TRENT,Trent Ltd,Consumer Goods
TVSMOTOR,Auto,Auto
ULTRACEMCO,Construction,Consumer Goods
UNIONBANK,Banking,Banking
UNITDSPR,Alcohol,Consumer Goods
VEDL,Metals,Consumer Goods
WIPRO,IT,IT
ZOMATO,Food Delivery,Consumer Goods
ZYDUSLIFE,Pharma,Healthcare
